Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	231.0	25.228952	258.0	195.0	1000.0	1.0092778	0.4267786	1.753085	0.0	4000	-0.024403263	560.9802	-0.0058215037	-361.26398	1.3282065	0.0012173244	2.1735692024230957
1	339.25	46.25135	418.0	301.0	1000.0	13.750126	2.5852776	15.517233	5.0041113	8000	-0.0043508695	457.08188	-0.004562834	-231.62746	1.2992232	-0.0008788564	3.8189456462860107
2	324.5	42.71124	382.0	262.0	1000.0	21.629503	1.4653317	22.195375	15.915496	12000	-0.02747405	187.1239	-0.0052488893	-61.56215	1.3095882	0.0009673679	5.4470648765563965
3	387.75	73.50978	461.0	291.0	1000.0	25.736671	0.9806277	26.074959	21.84508	16000	-0.036124285	317.0281	-0.0051242635	-97.76239	1.28882	1.6531274e-05	7.164263963699341
4	440.25	45.367252	504.0	381.0	1000.0	30.80756	0.71030897	31.042023	28.035574	20000	-0.030836608	261.22986	-0.0039335936	-102.57539	1.2831616	0.00012997084	8.797794818878174
5	441.25	54.49025	523.0	376.0	1000.0	36.04988	0.48266184	36.201717	34.144188	24000	-0.041994102	188.63612	-0.004418146	-37.691315	1.2749296	0.00060263334	10.446044206619263
6	466.25	58.657375	546.0	409.0	1000.0	39.376312	0.35184422	39.482677	37.956676	28000	-0.038212996	150.74312	-0.003797453	-31.834251	1.259486	9.470588e-05	12.124221801757812
7	473.5	18.02082	490.0	444.0	1000.0	42.468124	0.30104262	42.5574	41.229885	32000	-0.039749365	99.2731	-0.0037218481	-15.698563	1.2549118	0.0007963636	13.776864767074585
8	527.0	61.12692	599.0	430.0	1000.0	44.741512	0.25862485	44.816437	43.674324	36000	-0.039865106	192.45647	-0.003272634	-34.914597	1.237491	0.00032486703	15.476008176803589
9	573.5	40.524685	642.0	542.0	1000.0	48.129025	0.22057267	48.193245	47.218826	40000	-0.04539978	212.51115	-0.0035266392	-50.710907	1.219697	7.225117e-05	17.279334783554077
10	596.5	46.176292	644.0	533.0	1000.0	52.299988	0.18061088	52.35148	51.543312	44000	-0.045608584	161.02576	-0.0035460815	-30.51233	1.1983172	-5.0483643e-05	19.45763349533081
11	557.75	22.873293	592.0	528.0	1000.0	55.64147	0.15576042	55.684177	54.965096	48000	-0.051595543	90.54656	-0.0031757355	-0.040611267	1.2123625	0.0009927308	21.393878698349
12	589.5	64.86332	659.0	484.0	1000.0	55.584133	0.15616316	55.627747	54.923077	52000	-0.05101423	144.48	-0.0029950999	-10.626205	1.1894182	0.0004931521	23.353246212005615
13	675.25	24.893524	700.0	641.0	1000.0	57.57468	0.15177286	57.617733	56.94319	56000	-0.049715064	225.95782	-0.0027779453	-68.21561	1.1630023	-0.0001062966	25.27666449546814
14	675.0	56.661274	769.0	620.0	1000.0	62.73978	0.12906155	62.77385	62.16063	60000	-0.045784537	131.0838	-0.002714526	-15.55674	1.1590078	0.00034122216	27.080027103424072
15	700.25	24.375961	732.0	669.0	1000.0	65.357735	0.12864271	65.393394	64.81823	64000	-0.045234915	99.496315	-0.002399478	-12.326653	1.1283176	-0.0002906542	28.82283067703247
16	734.5	57.256004	830.0	679.0	1000.0	67.66695	0.12918177	67.70399	67.1442	68000	-0.05120666	176.12457	-0.0026580058	-23.738678	1.1224765	-0.00010361375	30.552687168121338
17	735.75	37.392345	800.0	707.0	1000.0	70.89866	0.12635271	70.93588	70.40421	72000	-0.06407317	136.91534	-0.0029548034	-5.3141785	1.1244509	0.00021440018	32.33948850631714
18	723.5	27.4454	766.0	696.0	1000.0	72.512924	0.12696579	72.55191	72.04118	76000	-0.059560265	100.81831	-0.0026536845	-0.014518738	1.1182334	0.00022894074	34.06442403793335
19	753.75	50.38539	834.0	699.0	1000.0	72.63291	0.104063354	72.66072	72.17458	80000	-0.067749605	150.42235	-0.0030593276	-9.302383	1.1027471	0.0004817401	35.790202379226685
20	782.75	26.52711	821.0	758.0	1000.0	74.75542	0.10179959	74.78359	74.32626	84000	-0.061503433	151.09338	-0.0025712922	-17.97676	1.0941422	0.00048492086	37.74041700363159
21	799.5	8.789198	811.0	790.0	1000.0	77.80351	0.10215545	77.83199	77.37499	88000	-0.069475	113.86248	-0.0029221475	-4.223839	1.0799624	0.00033870758	39.496296882629395
22	770.0	23.906067	800.0	734.0	1000.0	79.346565	0.1032258	79.37649	78.936195	92000	-0.053089295	117.90787	-0.0021846965	-2.711319	1.0800105	0.00063810725	41.176212787628174
23	846.5	76.42153	976.0	788.0	1000.0	78.164276	0.101497576	78.19176	77.71726	96000	-0.0867469	255.4669	-0.0029575676	-45.977142	1.0467275	0.00019368375	42.85971546173096
24	874.75	61.487297	946.0	779.0	1000.0	83.1355	0.102458015	83.16612	82.74042	100000	-0.08525512	219.83656	-0.0028599948	-25.391968	1.0382439	0.00026632092	44.736186027526855
25	906.0	31.008064	944.0	873.0	1000.0	86.974304	0.092927285	87.00013	86.58247	104000	-0.075742334	116.13122	-0.0025311261	-10.763046	1.0225827	0.00016657017	46.58553123474121
26	885.75	71.660225	987.0	786.0	1000.0	89.50075	0.08498838	89.52611	89.17636	108000	-0.08383609	165.76044	-0.0027186722	-0.5998993	1.0279992	0.00054371473	48.47454857826233
27	853.0	29.051678	899.0	819.0	1000.0	90.1256	0.099465825	90.159256	89.797134	112000	-0.08388975	189.81163	-0.0022931546	-16.205124	1.0162563	0.00028465485	50.27148365974426
28	917.0	24.494898	953.0	885.0	1000.0	87.00784	0.13054028	87.05089	86.55909	116000	-0.072480954	160.74303	-0.0018012673	-30.049835	0.99832815	0.00022809733	52.06410217285156
29	959.75	48.966187	1022.0	893.0	1000.0	91.23623	0.11928848	91.274536	90.82097	120000	-0.07898369	128.61916	-0.0020685717	-17.818764	0.9709016	-9.379758e-05	53.954177379608154
30	948.25	26.929306	976.0	907.0	1000.0	94.62485	0.10163422	94.65693	94.26392	124000	-0.07929997	157.61232	-0.002129227	-0.9985962	0.98508227	0.0005693655	55.942789793014526
31	972.0	84.22588	1100.0	864.0	1000.0	95.470566	0.098714665	95.49955	95.0873	128000	-0.07702213	174.7323	-0.0019258335	-5.158554	0.9552809	0.00022274692	57.75892782211304
32	969.5	65.76663	1071.0	906.0	1000.0	97.31712	0.10770339	97.35273	96.95367	132000	-0.07999048	147.35783	-0.0020507127	-1.0540161	0.9549103	0.00021052519	59.42609524726868
33	1022.25	67.10952	1099.0	941.0	1000.0	98.19297	0.08684118	98.218636	97.85933	136000	-0.095343515	222.33412	-0.0021167472	-16.943848	0.93202066	0.000185745	61.09581184387207
34	1015.5	41.883766	1063.0	948.0	1000.0	101.62966	0.09576856	101.66132	101.307526	140000	-0.091091394	144.94415	-0.0020518675	-0.0076141357	0.9310256	0.00017784594	62.87303638458252
35	1000.0	45.321075	1060.0	946.0	1000.0	101.61737	0.11400213	101.65814	101.266945	144000	-0.088284984	185.81865	-0.0016972646	-5.0360565	0.93890435	0.0003062763	64.59326577186584
36	1094.75	17.311485	1120.0	1072.0	1000.0	99.739006	0.19159986	99.79958	99.05487	148000	-0.095998034	288.1831	-0.0019310266	-103.37468	0.8813938	-0.000190497	66.32410001754761
37	1050.0	32.457664	1090.0	1007.0	1000.0	108.14186	0.1643249	108.19927	107.62544	152000	-0.089938104	176.66472	-0.0018007457	-2.367813	0.88945204	-5.3940774e-05	68.08311104774475
38	1014.25	82.30849	1130.0	919.0	1000.0	106.96167	0.24173729	107.043686	106.1734	156000	-0.09086882	223.344	-0.0017793104	-23.44043	0.8941825	4.1309297e-05	69.75195527076721
39	1113.0	66.07193	1212.0	1028.0	1000.0	102.87603	1.2516319	103.26654	98.15385	160000	-0.05922673	281.1042	-0.0016399175	-79.1382	0.86668944	1.917915e-05	71.45754265785217
40	1120.25	21.146809	1156.0	1102.0	1000.0	110.18674	0.21202412	110.252655	109.43892	164000	-0.082635626	185.60487	-0.001698345	-5.549515	0.8485895	-2.3133904e-05	73.43052339553833
41	1164.5	39.877937	1227.0	1116.0	1000.0	112.22434	0.18681175	112.27643	111.47922	168000	-0.09887027	169.32286	-0.0020617396	-20.0652	0.8397366	-2.4006136e-05	75.12337279319763
42	1156.0	67.13792	1229.0	1052.0	1000.0	115.955086	0.17948027	116.01174	115.33539	172000	-0.10195811	248.34074	-0.0017473772	-0.2490387	0.8444438	8.901388e-05	76.92084240913391
43	1184.75	53.936886	1242.0	1109.0	1000.0	116.01687	0.29896113	116.105774	114.90271	176000	-0.11106606	228.99422	-0.0020675808	-4.4128723	0.804619	-0.0002123093	78.65056538581848
44	1193.0	46.330338	1253.0	1130.0	1000.0	117.81317	0.31442082	117.90153	116.564835	180000	-0.074864015	144.19284	-0.0015360266	-6.8741455	0.8117067	-2.3492164e-05	80.55641579627991
45	1238.75	40.7454	1309.0	1210.0	1000.0	120.107544	0.23654665	120.17312	119.16193	184000	-0.08263188	141.0396	-0.0016386583	-9.769562	0.79324836	-6.138492e-05	82.34609627723694
46	1231.75	54.53153	1290.0	1147.0	1000.0	122.85328	0.226976	122.92027	122.01222	188000	-0.07741289	142.04672	-0.0014385805	-3.3202667	0.7807319	-0.0002039554	84.3341715335846
47	1187.25	50.454807	1250.0	1124.0	1000.0	124.383766	0.4053622	124.510315	122.95953	192000	-0.07315603	173.20483	-0.0013170242	-23.31105	0.8116598	0.00022723064	86.32972502708435
48	1210.25	29.456535	1243.0	1163.0	1000.0	120.08646	1.1678728	120.46071	115.81775	196000	-0.055303413	185.12323	-0.0012769699	-2.8382416	0.76352113	-0.00016667896	88.19839096069336
49	1210.5	25.675863	1243.0	1182.0	1000.0	121.54628	0.48732245	121.69125	119.6672	200000	-0.08655289	156.34276	-0.0014792308	-2.339264	0.7701983	-1.9877552e-05	90.30437469482422
